,prompt,A,B,C,D,E,answer
77,What is the significance of Thomas Henry Hellyer?,Thomas Henry Hellyer was a renowned author and historian specializing in Australian politics.,"Thomas Henry Hellyer was an Australian politician and solicitor, known for his contributions to public service and legal affairs.","Thomas Henry Hellyer was a prominent member of the Australian judiciary, serving as a judge for several high-profile cases.","Thomas Henry Hellyer was an influential figure in the Australian legal system, known for his expertise in criminal law.","Thomas Henry Hellyer was a celebrated artist and sculptor, known for his iconic works exhibited in galleries across Australia.",B
78,What is the primary mechanism used in time-sharing computing?,Time-sharing is based on space division multiplexing to allocate computing resources to multiple users.,Time-sharing is based on time division multiplexing to allocate computing resources to multiple users.,Time-sharing relies on single-tasking to allocate computing resources to multiple users.,Time-sharing utilizes parallel processing to allocate computing resources to multiple users.,Time-sharing is based on frequency division multiplexing to allocate computing resources to multiple users.,B
79,What is the Giudecca Canal?,"The Giudecca Canal is a man-made canal that connects various neighborhoods in Venice, Italy.","The Giudecca Canal is a natural river that originates from the Alps and flows through Venice, Italy.","The Giudecca Canal is a body of water that flows into the San Marco basin in Venice, Italy.","The Giudecca Canal is a body of water that flows into the Grand Canal in Venice, Italy.","The Giudecca Canal is a body of water that separates Venice, Italy from the mainland.",C
80,What is the purpose of multiple sequence alignment in biological analysis?,To analyze the mutation events such as point mutations in the aligned sequences.,To assess the shared evolutionary origins and sequence homology of the aligned sequences.,To determine the conservation of individual amino acids or nucleotides in the aligned sequences.,To determine the tertiary and secondary structures of protein domains.,To identify any insertion or deletion mutations occurring in the aligned sequences.,B
81,What is the definition of a civil war?,A civil war is a rebellion against the government in power.,A civil war is a battle between organized groups within the same state.,A civil war involves conflicts between different species within a state.,A civil war is a military campaign to conquer neighboring regions.,A civil war is fought between two or more countries.,B
82,How is Thomas Eliel Fenwick Blackburn's work characterized?,Thomas Eliel Fenwick Blackburn's work is known for its dynamic and adventurous narratives.,Thomas Eliel Fenwick Blackburn's work features intricate wordplay and playful language.,Thomas Eliel Fenwick Blackburn's work delves into personal introspection and spiritual symbolism.,Thomas Eliel Fenwick Blackburn's work focuses on political and social commentary.,Thomas Eliel Fenwick Blackburn's work explores themes of love and relationships in a romanticized manner.,C
83,What is the visual magnitude of HD 92063?,2.08,10.08,7.08,5.08,Not mentioned in the excerpt,D
84,What is The Second Step: Chapter Two?,"The second studio album by South Korean boy band Treasure, released by YG Entertainment on October 4, 2022.","The debut extended play (EP) by South Korean boy band Treasure, released by YG Entertainment on October 4, 2022.","The third extended play (EP) by South Korean boy band Treasure, released by YG Entertainment on October 4, 2022.","The first studio album by South Korean boy band Treasure, released by YG Entertainment on October 4, 2022.","The second extended play (EP) by South Korean boy band Treasure, released by YG Entertainment on October 4, 2022.",E
85,What is considered in determining the bollard pull of a water vessel?,The number of passengers the vessel can carry,The maximum force the vessel can exert using a towline,The size of the fuel tanks on board,The maximum speed of the vessel,The distance the vessel can travel without refueling,B
86,What is the estimated number of stars visible in NGC 2627 when viewed through binoculars?,Around 50 stars are visible,Around 25 stars are visible,Around 15 stars are visible,Around 100 stars are visible,Around 5 stars are visible,C
87,What were the objectives of the CoRoT space telescope mission?,To search for extrasolar planets with long orbital periods.,To study the composition of asteroids and comets in our solar system.,To search for extrasolar planets with short orbital periods.,To study the formation of galaxies and distant stars.,To study the impact of solar flares on Earth's atmosphere.,C
88,What is AXS?,"AXS is an American ticket outlet for sports and entertainment events, founded in 2011 and owned by Anschutz Entertainment Group (AEG), the world's second largest entertainment promoter behind Live Nation Entertainment.","AXS is an American media outlet for sports and entertainment events, founded in 2011 and owned by Anschutz Entertainment Group (AEG), the world's second largest entertainment promoter behind Live Nation Entertainment.","AXS is an American streaming service for sports and entertainment events, founded in 2011 and owned by Anschutz Entertainment Group (AEG), the world's second largest entertainment promoter behind Live Nation Entertainment.","AXS is a company that manufactures American sports and entertainment equipment, founded in 2011 and owned by Anschutz Entertainment Group (AEG), the world's second largest entertainment promoter behind Live Nation Entertainment.","AXS is an American music label for sports and entertainment events, founded in 2011 and owned by Anschutz Entertainment Group (AEG), the world's second largest entertainment promoter behind Live Nation Entertainment.",A
89,Which of the following is the correct definition of Mexican Spitfire?,Mexican Spitfire is a derogatory term used to describe a Mexican person who is known for their aggressive and confrontational behavior.,"Mexican Spitfire is a 1940 American comedy film starring Lupe Vélez, where she plays a hot-headed, fast-talking Mexican singer taken to New York for a radio gig.","Mexican Spitfire is a type of fast-spreading, hot and spicy Mexican cuisine known for its mouth-watering flavors.","Mexican Spitfire is a popular cocktail made from tequila, lime juice, and chili powder, known for its fiery taste.",Mexican Spitfire is a traditional Mexican dance characterized by fast footwork and lively music.,B
